l,vmax,r,dr,v,dv,radim,dradim,vadim,dvadim,M/Ms,dM/Ms
20.0,20.0,2.907171218268184,0.07177023795729612,95.24443153164712,1.9813543578319972,0.3420201433256687,0.008679938690763167,0.43292923423475965,0.00905974433368902,6132265552.647646,255137.03805527525
30.0,92.0,4.249999999999999,0.06893195274089563,201.99999999999997,1.9784522553700692,0.4999999999999999,0.008626517505476447,0.9181818181818181,0.009231904110415221,40323927369.66811,789890.7430683046
33.0,92.0,4.62943179762773,0.06790890011742134,211.82058770330596,1.977433898999011,0.5446390350150271,0.008607711929128055,0.9628208531968453,0.00925086641435726,48298671198.44339,901776.6473029054
36.0,81.0,4.996174644486022,0.06682016229166884,210.31275550434407,1.9763663207869004,0.5877852522924731,0.00858796361030085,0.9559670704742912,0.009242477501720235,51385429742.574844,965765.7946504224
40.0,59.0,5.463694682335584,0.06528196685891798,200.41327413103863,1.9748864754018423,0.6427876096865393,0.008560531444620016,0.9109694278683574,0.009212418535644402,51028234609.71179,1005671.6136323499
45.0,52.0,6.010407640085654,0.06325405973096677,207.56349186104046,1.9729865367352748,0.7071067811865475,0.008525212818335156,0.9434704175501839,0.00922090015206733,60211163479.25313,1144669.65110863
50.0,52.0,6.5113777665113135,0.06115894822451217,220.52977748617516,1.9710847667089804,0.766044443118978,0.008489747262521073,1.0024080794826145,0.009244588149944319,73634022467.20831,1316274.850961746
60.0,27.0,7.361215932167728,0.05701348994952297,217.52558883257652,1.9675056344260853,0.8660254037844386,0.00842268976773575,0.9887526765117114,0.009221209814368874,80991868470.48875,1465132.9842488724
70.0,5.0,7.987387276680221,0.05339648947684217,211.73237657289985,1.9645830745930446,0.9396926207859083,0.008367626397037854,0.9624198935131811,0.009193904814625358,83262690736.38481,1545124.7996496845
72.0,5.0,8.083980388508804,0.0527890141979191,214.23243358493374,1.9641106032238345,0.9510565162951534,0.008358698316698296,0.9737837890224261,0.009197998994837366,86271400558.60431,1581894.6716576156
80.0,6.0,8.370865900603768,0.050897209785314985,222.65770566268577,1.9626731618868691,0.984807753012208,0.008331490053044694,1.0120804802849352,0.00921300135165899,96497708154.68535,1701207.3434881554
